Parent	Gropoff	WATOff	Names	Truck	Plant	Stud0	Stud1	Mach0	Mach1	Mach2	Cour0	
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	
S	S	S	S		S	S0,1						
		C0,5	R0	S			S1,1	S2			S	
		C1,5	R1						S2			
D1,2		W	R2							S2	t0,5	
			N0,0			V0						
D0,2	D2		N1,1				V1					
D1,3			N0,1	P3	P	V1						
				d0,3								
D0,1			N0,2	U0,12		V2		r				
	D2				G2			R				
D0,1	F		N1,2				V2					
			N0,0	P2	P	V0						
				d1,2								
D1,1				U1,3					r			
D1,2			N1,0		G3		V0	A	R			
				P3	P		a1,2					
				d2,3								
			N0,1	U2,7		V1				r		
D1,3					G1					R		
				P1	P							
				d0,1								
				U0,4				r				
			N1,1		G3		V1	R				
				P3	P							
				d1,3								
D0,2		W		U1,5					r		T0,5	
											t1,5	
					G3				R		T1,5	
						G0,2			B0,0			
D1,1			N1,2	P3	P	F	V2					
				d2,3								
				U2,9						r		
D0,1					G4					R		
							G1,2			B1,0		
D1,2				F	F		F	F				
D0,1									F	F		
D0,3		F						F				
D0,3												
F			F									
***********************
