Parent	Gropoff	WATOff	Names	Truck	Plant	Stud0	Stud1	Mach0	Mach1	Mach2	Cour0	
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	
	S	S	S			S2,4						
S		C0,5	R0				S2,4	S2			S	
		C1,5	R1						S2			
D1,3		W	R2		S						t0,5	
			N0,0	S		V0				S2		
D0,1	D2		N1,0				V0					
D1,1			N1,1				V1					
D0,1				P6	P							
				d0,6								
	D2		N1,2	U0,9			V2	r				
	F							R				
D1,2			N1,0		G6	G2,2	V0	B2,1				
D0,2				P6	P							
				d1,6								
D0,1				U1,9			G2,2	B2,0	r			
CARD IS NULL
		W							R		T0,5	
CARD IS NULL
											t1,5	
			N0,0		G5	V0					T1,5	
				P5	P							
				d2,5								
D0,1			N1,1	U2,15			V1			r		
D1,1			N0,1		G4	V1			B2,1	R		
				P4	P	B2,5	B2,5		B2,0			
				d0,4								
D0,2				U0,12				r				
					G6			R				
				P6	P							
				d1,6								
D0,1				U1,10					r			
					G4				R			
D0,2			N1,2	P4	P	B2,3	V2		B2,0			
				d2,4								
				U2,7						r		
D1,1					G5					R		
		T0,7					B2,3			B2,1		
D1,1		W									t0,7	
		T1,7		P5	P							
				d0,5								
D0,1		T0,7		U0,5				r				
		W						R			T0,7	
			N0,2		G4	V2				B2,0	t1,7	
						B2,8						
D1,2		T1,7		P4	P	F						
				d1,4								
D0,2				U1,2					r			
		T1,7			G2				R			
				P2	P							
				d2,2								
D1,2		W		U2,7						r	T1,7	
					G6					R	t0,7	
							B2,8			B2,0		
D1,3				F	F		F	F				
D0,2									F	F		
D1,3												
D1,2												
D1,3												
D0,3		F										
D1,1												
***********************
